entry_name,item_no,item_code,item_name,timing_group,support_type,requirement_symbol,requirement_meaning,data_type,xml_data_type,act_mood_code,observation_class_code,observation_mood_code,xml_unit,code_table_oid,note
初回面接実施情報,1305,1022000015,初回面接の実施者,legal_report,motivational,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.3020,"1:医師 2:保健師 3:管理栄養士 4:その他"
初回面接実施情報,1305,1022000015,初回面接の実施者,legal_report,active,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.3020,"1:医師 2:保健師 3:管理栄養士 4:その他"
初回面接実施情報,1305,1022000015,初回面接の実施者,legal_report,motivational_equivalent,○,必須入力項目,コード,,EVN,,,,1.2.392.200119.6.3020,"1:医師 2:保健師 3:管理栄養士 4:その他"
初回面接実施情報,1306,1022000090,初回面接情報,first_claim,motivational,△,情報を入手した場合に入力,漢字,ST,EVN,OBS,EVN,,,文字数上限は256文字
初回面接実施情報,1306,1022000090,初回面接情報,first_claim,active,△,情報を入手した場合に入力,漢字,ST,EVN,OBS,EVN,,,文字数上限は256文字
初回面接実施情報,1306,1022000090,初回面接情報,first_claim,motivational_equivalent,△,情報を入手した場合に入力,漢字,ST,EVN,OBS,EVN,,,文字数上限は256文字
保健指導計画情報,1331,1021000020,継続的支援予定期間,first_claim,active,○,必須入力項目,数字,PQ,INT,OBS,INT,wk,,
保健指導計画情報,1331,1021000020,継続的支援予定期間,first_claim,motivational_equivalent,△,情報を入手した場合に入力,数字,PQ,INT,OBS,INT,wk,,
保健指導計画情報,1331,1021000020,継続的支援予定期間,legal_report,active,○,必須入力項目,数字,PQ,INT,OBS,INT,wk,,
保健指導計画情報,1331,1021000020,継続的支援予定期間,legal_report,motivational_equivalent,△,情報を入手した場合に入力,数字,PQ,INT,OBS,INT,wk,,
保健指導計画情報,1332,1021001031,目標腹囲,first_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,cm,,
保健指導計画情報,1332,1021001031,目標腹囲,first_claim,active,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,cm,,
保健指導計画情報,1332,1021001031,目標腹囲,first_claim,motivational_equivalent,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,cm,,
保健指導計画情報,1333,1021001032,目標体重,first_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kg,,
保健指導計画情報,1333,1021001032,目標体重,first_claim,active,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kg,,
保健指導計画情報,1333,1021001032,目標体重,first_claim,motivational_equivalent,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kg,,
保健指導計画情報,1334,1021001033,目標収縮期血圧,first_claim,motivational,△,情報を入手した場合に入力,数字,PQ,INT,OBS,GOL,mm[Hg],,
保健指導計画情報,1334,1021001033,目標収縮期血圧,first_claim,active,△,情報を入手した場合に入力,数字,PQ,INT,OBS,GOL,mm[Hg],,
保健指導計画情報,1334,1021001033,目標収縮期血圧,first_claim,motivational_equivalent,△,情報を入手した場合に入力,数字,PQ,INT,OBS,GOL,mm[Hg],,
保健指導計画情報,1335,1021001034,目標拡張期血圧,first_claim,motivational,△,情報を入手した場合に入力,数字,PQ,INT,OBS,GOL,mm[Hg],,
保健指導計画情報,1335,1021001034,目標拡張期血圧,first_claim,active,△,情報を入手した場合に入力,数字,PQ,INT,OBS,GOL,mm[Hg],,
保健指導計画情報,1335,1021001034,目標拡張期血圧,first_claim,motivational_equivalent,△,情報を入手した場合に入力,数字,PQ,INT,OBS,GOL,mm[Hg],,
保健指導計画情報,1336,1021001050,一日の削減目標エネルギー量,first_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1336,1021001050,一日の削減目標エネルギー量,first_claim,active,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1336,1021001050,一日の削減目標エネルギー量,first_claim,motivational_equivalent,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
保健指導計画情報,1337,1021001051,一日の運動による目標エネルギー量,first_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,数字,PQ,INT,OBS,GOL,kcal,,
