項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
尿潜血,1A100000000190111,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,2：試験紙法(目視法),尿検査,コード,1A10020000,//cda:observation[ cda:code/@code='1A100000000190111' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,True,,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ,nullFlavor許容",2025-08-20
尿潜血,1A100000000191111,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,1：試験紙法(機械読み取り),尿検査,コード,1A10010000,//cda:observation[ cda:code/@code='1A100000000191111' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,True,,,,更新,"差分: 値の取得方法,XPathテンプレ,nullFlavor許容",2025-08-20
尿糖,1A020000000190111,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,2：試験紙法(目視法),尿検査,コード,1A02020000,//cda:observation[ cda:code/@code='1A020000000190111' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,True,,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ,nullFlavor許容",2025-08-20
尿糖,1A020000000191111,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,1：試験紙法(機械読み取り),尿検査,コード,1A02010000,//cda:observation[ cda:code/@code='1A020000000191111' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,True,推奨,,,更新,差分: XPathテンプレ,2025-08-20
尿蛋白,1A010000000190111,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,2：試験紙法(目視法),尿検査,コード,1A01020000,//cda:observation[ cda:code/@code='1A010000000190111' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,True,,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ,nullFlavor許容",2025-08-20
尿蛋白,1A010000000191111,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2102,1：試験紙法(機械読み取り),尿検査,コード,1A01010000,//cda:observation[ cda:code/@code='1A010000000191111' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,True,推奨,,,更新,差分: XPathテンプレ,2025-08-20
心拍数,9N121000000000001,1.2.392.200119.6.1005,拍／分,{h`b}/min,PQ,,,血圧等,数字,,//cda:observation[ cda:code/@code='9N121000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
心電図(実施理由),9A110161000000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
心電図(対象者）,9A110161600000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.18120,,がん検診・生体検査等,コード,,,,,,,,変更なし,,2025-08-20
心電図(所見),9A110160800000049,1.2.392.200119.6.1005,,,ST,,,がん検診・生体検査等,文字列,,,,,,,,変更なし,,2025-08-20
