OID_code,OID_code_value,OID_code_value_name,OID_code_display_order,OID_code_value_remarks,OID_code_value_dev_remarks,Unnamed: 6
OID,value,内容,表示順位,備考,開発コメント,エクセル用（OID-value)
1.2.392.200119.6.24030,1,保健指導以後に服薬開始を確認,1,対象から除外する場合に記載し、服薬中であっても保健指導を継続した場合は記載しない,,1.2.392.200119.6.24030-1
1.2.392.200119.6.2001,1,特記事項あり,1,,,1.2.392.200119.6.2001-1
1.2.392.200119.6.2001,2,特記事項なし,2,,,1.2.392.200119.6.2001-2
1.2.392.200119.6.2002,1,異常所見あり,1,,,1.2.392.200119.6.2002-1
1.2.392.200119.6.2002,2,異常所見なし,2,,,1.2.392.200119.6.2002-2
1.2.392.200119.6.2002,3,要再検査,3,,,1.2.392.200119.6.2002-3
1.2.392.200119.6.2002,4,検査不適,4,,,1.2.392.200119.6.2002-4
1.2.392.200119.6.2003,1,はい,1,,,1.2.392.200119.6.2003-1
1.2.392.200119.6.2003,2,いいえ,2,,,1.2.392.200119.6.2003-2
1.2.392.200119.6.2004,1,速い,1,,,1.2.392.200119.6.2004-1
1.2.392.200119.6.2004,2,ふつう,2,,,1.2.392.200119.6.2004-2
1.2.392.200119.6.2004,3,遅い,3,,,1.2.392.200119.6.2004-3
1.2.392.200119.6.24040,1,毎日,1,,,1.2.392.200119.6.24040-1
1.2.392.200119.6.24040,2,週5～6日,2,,,1.2.392.200119.6.24040-2
1.2.392.200119.6.24040,3,週3～4日,3,,,1.2.392.200119.6.24040-3
1.2.392.200119.6.24040,4,週1～2日,4,,,1.2.392.200119.6.24040-4
1.2.392.200119.6.24040,5,月に1～3日,5,,,1.2.392.200119.6.24040-5
1.2.392.200119.6.24040,6,月に1日未満,6,,,1.2.392.200119.6.24040-6
1.2.392.200119.6.24040,7,やめた,7,,,1.2.392.200119.6.24040-7
1.2.392.200119.6.24040,8,飲まない(飲めない),8,,,1.2.392.200119.6.24040-8
1.2.392.200119.6.24050,1,1合未満,1,,,1.2.392.200119.6.24050-1
1.2.392.200119.6.24050,2,1～2合未満,2,,,1.2.392.200119.6.24050-2
1.2.392.200119.6.24050,3,2～3合未満,3,,,1.2.392.200119.6.24050-3
1.2.392.200119.6.24050,4,3～5合未満,4,,,1.2.392.200119.6.24050-4
1.2.392.200119.6.24050,5,5合以上,5,,,1.2.392.200119.6.24050-5
1.2.392.200119.6.24060,1,はい,1,,,1.2.392.200119.6.24060-1
1.2.392.200119.6.24060,2,以前は吸っていたが、最近1ヶ月間は吸っていない,2,,,1.2.392.200119.6.24060-2
1.2.392.200119.6.24060,3,いいえ,3,,,1.2.392.200119.6.24060-3
1.2.392.200119.6.2007,1,意志なし,1,,,1.2.392.200119.6.2007-1
1.2.392.200119.6.2007,2,意志あり（6か月以内）,2,,,1.2.392.200119.6.2007-2
1.2.392.200119.6.2007,3,意志あり（近いうち）,3,,,1.2.392.200119.6.2007-3
1.2.392.200119.6.2007,4,取組済み（6ヵ月未満）,4,,,1.2.392.200119.6.2007-4
1.2.392.200119.6.2007,5,取組済み（6ヵ月以上）,5,,,1.2.392.200119.6.2007-5
1.2.392.200119.6.2008,0,はい,1,,,1.2.392.200119.6.2008-0
1.2.392.200119.6.2008,1,いいえ,2,,,1.2.392.200119.6.2008-1
1.2.392.200119.6.2009,0,いいえ,1,,,1.2.392.200119.6.2009-0
